id,original_text,submitted_text,label,source,instructor_feedback
1,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Strong match
2,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Too vague
3,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,Human_Paraphrase,PAN,NA
4,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,AI_Generated,ChatGPT,Too vague
5,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,AI_Generated,ChatGPT,Accurate paraphrase
6,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,NA
7,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,NA
8,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,AI_Generated,ChatGPT,Highly similar
9,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Strong match
10,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,NA
11,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Well-written
12,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Accurate paraphrase
13,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,AI_Generated,ChatGPT,Well-written
14,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,NA
15,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,NA
16,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Strong match
17,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Accurate paraphrase
18,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Highly similar
19,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Highly similar
20,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,AI_Generated,ChatGPT,Accurate paraphrase
21,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Too vague
22,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,Human_Paraphrase,PAN,Accurate paraphrase
23,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Strong match
24,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,NA
25,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Highly similar
26,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,Human_Paraphrase,PAN,Well-written
27,Machine learning enables systems to learn from data.,Data helps machines learn through machine learning.,Human_Paraphrase,PAN,Well-written
28,Machine learning enables systems to learn from data.,Data helps machines learn through machine learning.,AI_Generated,ChatGPT,Too vague
29,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,NA
30,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Accurate paraphrase
31,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Accurate paraphrase
32,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Well-written
33,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Too vague
34,Climate change is driven by greenhouse gases.,Global warming is caused by excess carbon emissions.,AI_Generated,ChatGPT,NA
35,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Highly similar
36,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,Human_Paraphrase,PAN,Too vague
37,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Well-written
38,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Too vague
39,Machine learning enables systems to learn from data.,Data helps machines learn through machine learning.,AI_Generated,ChatGPT,NA
40,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,Human_Paraphrase,PAN,Highly similar
41,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Highly similar
42,Climate change is driven by greenhouse gases.,The atmosphere traps heat due to gas emissions.,Human_Paraphrase,PAN,Strong match
43,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Well-written
44,Machine learning enables systems to learn from data.,Data helps machines learn through machine learning.,AI_Generated,ChatGPT,NA
45,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,Human_Paraphrase,PAN,Strong match
46,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Highly similar
47,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Too vague
48,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,Human_Paraphrase,PAN,Well-written
49,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,Human_Paraphrase,PAN,Highly similar
50,Photosynthesis converts light energy into chemical energy.,Light energy is turned into sugar in photosynthesis.,AI_Generated,ChatGPT,Strong match
51,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,AI_Generated,ChatGPT,Accurate paraphrase
52,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,NA
53,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Accurate paraphrase
54,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,AI_Generated,ChatGPT,Highly similar
55,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,NA
56,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Well-written
57,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Strong match
58,Machine learning enables systems to learn from data.,Data helps machines learn through machine learning.,AI_Generated,ChatGPT,Accurate paraphrase
59,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,AI_Generated,ChatGPT,Well-written
60,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,Human_Paraphrase,PAN,Too vague
61,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Well-written
62,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Well-written
63,Photosynthesis converts light energy into chemical energy.,Light energy is turned into sugar in photosynthesis.,Human_Paraphrase,PAN,Too vague
64,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,AI_Generated,ChatGPT,Well-written
65,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Highly similar
66,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Highly similar
67,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Well-written
68,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,AI_Generated,ChatGPT,Well-written
69,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,NA
70,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,Human_Paraphrase,PAN,NA
71,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Strong match
72,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,NA
73,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Highly similar
74,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,Human_Paraphrase,PAN,Strong match
75,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,NA
76,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Accurate paraphrase
77,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Well-written
78,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Well-written
79,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,NA
80,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,Human_Paraphrase,PAN,Too vague
81,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,AI_Generated,ChatGPT,NA
82,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,NA
83,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Accurate paraphrase
84,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Too vague
85,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,AI_Generated,ChatGPT,Accurate paraphrase
86,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,Human_Paraphrase,PAN,NA
87,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Strong match
88,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Too vague
89,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Well-written
90,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Highly similar
91,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Accurate paraphrase
92,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,Human_Paraphrase,PAN,NA
93,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,AI_Generated,ChatGPT,Highly similar
94,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,Human_Paraphrase,PAN,NA
95,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Strong match
96,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,Human_Paraphrase,PAN,NA
97,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,AI_Generated,ChatGPT,Highly similar
98,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Highly similar
99,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,NA
100,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Strong match
101,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,Human_Paraphrase,PAN,Well-written
102,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,AI_Generated,ChatGPT,Highly similar
103,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Well-written
104,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Highly similar
105,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,Human_Paraphrase,PAN,Well-written
