id,original_text,submitted_text,label,source,instructor_feedback
1,The heart pumps blood through the circulatory system.,The heart circulates blood throughout the body.,Human_Paraphrase,PAN,Good understanding
2,The heart pumps blood through the circulatory system.,The heart circulates blood throughout the body.,AI_Generated,ChatGPT,Accurate paraphrase
3,The heart pumps blood through the circulatory system.,The heart pumps blood through the circulatory system.,Original,Student_Assigned,Excellent clarity
4,The heart pumps blood through the circulatory system.,The heart pumps blood through the circulatory system.,Original,Student_Assigned,Excellent clarity
5,The heart pumps blood through the circulatory system.,The heart pumps blood through the circulatory system.,Original,Student_Assigned,Inconsistent explanation
6,The heart pumps blood through the circulatory system.,Blood is moved by the heart through the vascular system.,AI_Generated,ChatGPT,Inconsistent explanation
7,The heart pumps blood through the circulatory system.,The heart circulates blood throughout the body.,AI_Paraphrase,AI_Generated,Rephrased well but vague
8,The heart pumps blood through the circulatory system.,The heart circulates blood throughout the body.,Human_Paraphrase,PAN,Good understanding
9,The heart pumps blood through the circulatory system.,Blood is moved by the heart through the vascular system.,AI_Generated,ChatGPT,Inconsistent explanation
10,The heart pumps blood through the circulatory system.,The heart pumps blood through the circulatory system.,Original,Student_Assigned,Good understanding
11,Machine learning enables systems to learn from data.,Machine learning helps computers improve from experience.,AI_Generated,ChatGPT,Rephrased well but vague
12,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,NA
13,Machine learning enables systems to learn from data.,Systems can learn patterns from data using machine learning.,AI_Paraphrase,AI_Generated,Excellent clarity
14,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Inconsistent explanation
15,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Rephrased well but vague
16,Machine learning enables systems to learn from data.,Systems can learn patterns from data using machine learning.,AI_Paraphrase,AI_Generated,Excellent clarity
17,Machine learning enables systems to learn from data.,Machine learning helps computers improve from experience.,Human_Paraphrase,PAN,NA
